Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8988.08,107856.95999999999,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,Working days per month (22)
My Estimate,US East (N. Virginia),,Gateway Load Balancer,0,261.58000000000004,3138.96,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Average number of new connections/flows (50000 per second)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,227.22,2726.64,USD,"Number of requests (HTTPS) (100000 per month), Data transfer out to origin (1000 GB per month), Data transfer out to internet (1000 GB per month), Data transfer out to internet (1000 GB per month), Data transfer out to origin (200 GB per month), Number of requests (HTTPS) (100000 per month)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,506.06,6072.72,USD,"Operating system (Linux), Quantity (5), Pricing strategy (On-Demand Instances), Storage amount (31 GB), Instance type (t4g.xlarge)"
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,5620.2,67442.40,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (2), Instance type (db.r5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,404.45,4853.40,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t4g.xlarge)"
My Estimate,US East (Ohio),replica,Amazon RDS for MySQL,0,1738.62,20863.44,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (298 GB), Quantity (3), Instance type (db.m4.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (Ohio),,S3 Standard,0,229.95,2759.40,USD,S3 Standard storage (9998 GB per month)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
